offspring,mother,father,prob
5519,5147,5159,0.9998
5522,1757,NA,0.979
5526,4941,3615,0.9968
5527,4936,1710,0.9877
5530,3594,5197,1
5533,1361,1698,0.9997
5534,2963,3089,0.9865
5536,1763,NA,0.9932
5538,3567,1604,1
5539,4961,5167,0.9948
5540,4965,1616,0.9893
5541,5141,NA,0.8841
5542,3569,NA,0.9996
5543,4917,NA,0.9934
5544,3497,1611,1
5545,2989,NA,0.9293
5546,4936,NA,0.9783
5547,5217,NA,0.9853
5548,3444,1731,0.8823
5550,4896,NA,0.9998
5551,3567,1604,0.9992
5552,4883,NA,0.9909
5553,4863,1762,0.9998
5554,5268,2991,1
5555,4935,NA,0.9486
5557,3462,3093,0.9931
5558,5217,NA,0.9959
5560,3698,1489,0.9997
5561,3517,5333,0.9987
5562,1605,4939,1
5563,3604,NA,0.9869
5564,5224,1881,0.9955
5565,2985,NA,0.9997
5566,1617,NA,0.9947
5567,3604,NA,0.8673
5571,5242,1489,0.999
5572,3451,1801,0.9887
5573,5532,NA,0.9719
5574,5324,NA,0.9206
5575,5168,NA,0.9998
5584,3086,5204,0.9826
5587,3518,3454,0.9995
5588,4964,NA,0.9562
5592,5267,NA,0.9516
5593,5217,NA,0.9832
5594,3606,NA,0.9544
5595,1707,NA,0.9942
5596,3596,NA,0.9802
5597,1716,NA,0.8758
5599,4973,1868,0.9912
5601,5125,NA,0.8022
5602,1803,NA,0.9154
5604,5284,NA,0.9903
5611,4973,1868,0.999
5617,1824,5220,0.9995
5618,1438,1708,0.9996
5619,3085,1729,1
5622,4965,1616,0.9891
5624,5533,5167,0.9984
5625,5531,4957,1
5627,3462,NA,0.9955
5628,2968,5240,0.9986
5629,1707,1710,0.9999
5630,5319,NA,0.9994
5632,5173,5291,0.9437
5633,3022,3696,0.9983
5635,1826,NA,0.9996
5638,1617,NA,0.9973
5639,5242,1489,0.9998
5641,3517,NA,0.9879
5643,5277,NA,0.9995
5644,5277,4933,1
5645,5163,5072,1
5646,5323,1616,0.9998
5647,3451,1801,0.9998
5648,5277,4933,0.9999
5649,3451,NA,1
5651,4965,NA,0.988
5652,5075,5000,0.9873
5653,3462,NA,0.988
5656,3606,NA,0.9966
5657,3567,NA,0.9991
5658,4999,NA,1
5681,5598,NA,0.9998
5682,5320,1762,1
5684,5267,2960,0.9858
5686,5217,NA,0.9788
5687,5457,5285,1
5747,5164,2966,0.999
5748,3608,5237,0.9993
5750,1826,NA,0.9997
5752,5282,5462,1
5753,5516,1731,1
5754,5128,NA,0.8037
5756,5562,2991,0.9999
5757,5532,5515,1
5758,1864,NA,1
5759,3574,4866,1
5762,1791,NA,0.9286
5764,5452,5334,0.9994
5766,5337,5508,0.999
5767,5524,4860,0.9998
5768,4917,5144,0.9996
5769,5450,5614,0.9999
5770,5125,NA,0.9268
5772,1415,4890,0.9974
5773,5511,2974,1
5775,1716,NA,0.9969
5777,3517,5333,0.9818
5778,3517,5333,0.9993
5780,3490,3087,1
5782,5162,5077,0.9982
5783,4965,1616,1
5784,5341,5522,1
5785,3453,5523,0.998
5820,4904,NA,1
5821,3596,NA,0.9933
5822,5604,NA,0.9571
5823,5163,5072,1
5825,5517,NA,0.9963
5829,3085,5774,0.91
5830,5195,NA,0.9999
5831,3086,NA,0.9569
5832,1707,NA,0.9099
5833,3490,3087,1
5834,5267,NA,0.9809
5835,5164,2966,0.9999
5837,5685,NA,0.9426
5838,5128,5583,0.9997
5839,1824,5679,1
5840,3698,1489,0.9986
5844,5683,4854,0.9997
5846,3491,5290,0.9999
5848,5195,5781,0.9995
5849,5123,1577,0.9997
5850,3596,NA,0.9719
5851,5518,5456,1
5852,1580,3643,0.9999
5853,4958,NA,0.9998
5854,5549,NA,0.9378
5855,5549,NA,0.9916
5905,5465,NA,0.9648
5906,4885,5338,0.9907
5907,5589,5781,0.9065
5908,5634,NA,0.8935
5909,1707,1710,0.9999
6009,4958,5626,0.9994
6010,3094,NA,0.9906
6011,5621,1607,0.9997
6013,5633,NA,0.9004
6015,5685,5285,0.9996
6016,5683,NA,0.9928
6018,3086,5828,0.9974
6020,3085,1729,1
6021,5514,5321,0.9589
6023,5613,5779,0.9999
6024,1864,5333,0.9973
6025,5525,5513,0.9913
6026,5530,NA,0.9998
6028,5284,NA,0.9851
6029,5524,4860,1
6032,5773,NA,0.9506
6034,5511,2974,1
6035,6021,5321,0.9392
6038,5536,NA,0.9952
6041,3567,NA,0.9965
6042,4861,NA,0.8045
6043,5640,5321,0.9787
6044,4896,NA,0.9968
6047,1605,5837,1
6048,1678,5291,0.9998
6049,5625,NA,0.979
6050,3595,5292,1
6051,5277,4933,0.9999
6052,1826,NA,0.9999
