BloodID,BTN,TL,Objective,Whodunnit,ID,PlateID,BirdID,RightTarsus,LeftTarsus,BodyMass,EyeColour,LayYear,FieldPeriodID,OccasionID,OccasionDate,Ageclass,Status,BreedGroupID,TerritoryID,SexEstimate,MaxOfMaxOfSeenDate
3238,2247,6247.53388,6,EAF,1569,14,1589,23.4,,15.6,RB,2000,75,1943,02/09/2006,A,BrF,3772,15,0,14/08/2008
3099,2108,5067.844462,3,EB,914,1,1762,25.7,,17.5,RB,2002,75,1840,06/07/2006,A,BrM,3772,15,1,15/09/2015
3098,2107,5423.072352,7,EAF,1956,41,1753,24.6,,15.0,RB,2002,75,1839,04/07/2006,A,BrF,3773,16,0,18/07/2011
3143,2152,5942.68386,3,EB,938,2,3020,26.7,,16.8,RB,2004,75,1909,08/08/2006,A,AB,3774,20,1,14/07/2007
3190,2199,9603.574688,8,EAF,2522,13,4885,24.7,,15.8,G,2006,75,1921,15/08/2006,CH,FL,3774,20,0,10/09/2015
3151,2160,4945.172113,6,EAF,1538,13,1419,23.5,,15.1,RB,1999,75,1908,08/08/2006,A,BrF,3775,22,0,10/01/2008
3151,2160,4955.641592,3,EB,944,2,1419,23.5,,15.1,RB,1999,75,1908,08/08/2006,A,BrF,3775,22,0,10/01/2008
3131,2140,1119.360171,3,EB,930,2,1795,25.2,,16.5,RB,2002,75,1893,02/08/2006,A,BrM,3775,22,1,19/08/2009
3131,2140,5882.382228,3,EB,931,87,1795,25.2,,16.5,RB,2002,75,1893,02/08/2006,A,BrM,3775,22,1,19/08/2009
3212,2221,6815.193248,7,EAF,1978,25,4897,25.3,,16.3,G,2006,75,1933,24/08/2006,CH,FL,3775,22,1,14/02/2010
3209,2218,8123.807796,6,EAF,1555,34,4895,23.9,,15.4,G,2006,75,1933,24/08/2006,CH,FL,3775,22,1,06/01/2007
3116,2125,4524.732579,4,EB,921,31,1559,23.7,,15.0,RB,1999,75,1868,18/07/2006,A,BrF,3776,23,0,10/09/2009
3121,2130,4015.716689,6,EAF,1528,21,1702,24.3,,16.5,RB,2002,75,1872,20/07/2006,A,BrM,3776,23,1,31/08/2010
3121,2130,4450.584788,6,EAF,1529,22,1702,24.3,,16.5,RB,2002,75,1872,20/07/2006,A,BrM,3776,23,1,31/08/2010
3121,2130,5713.98978,4,EB,924,31,1702,24.3,,16.5,RB,2002,75,1872,20/07/2006,A,BrM,3776,23,1,31/08/2010
3120,2129,6127.042861,6,EAF,1527,16,3603,23.4,,14.5,LB,2005,75,1872,20/07/2006,SA,ABX,3776,23,0,31/07/2006
