mother,offspring,father,prob,LayYear,MumLayYear,DadLayYear
1218,3994,1199,0.533,1999,1996,1999
447,4017,176,0.999,1999,1992,1999
522,4042,1360,1,1999,1993,1999
833,4057,497,1,1999,1994,1999
938,4086,1028,0.999,1999,1994,1999
869,4194,1495,1,2003,1995,2003
454,4255,44,0.572,1995,1992,1995
878,4256,,0.592,1995,1994,1995
641,4257,,0.645,1996,1993,1996
825,4258,602,0.506,1996,1994,1996
64,4260,637,0.996,1996,1987,1996
1043,4262,1306,0.998,1998,1995,1998
912,4266,1750,1,2004,1994,2004
1155,4802,1808,1,2005,1996,2005
1042,4803,453,0.845,2005,1996,2005
3487,4804,1543,1,2006,2004,2006
3487,4805,1543,1,2006,2004,2006
912,4829,1750,1,2006,1994,2006
1740,4854,1187,1,2006,2001,2006
1605,4855,497,1,2006,2000,2006
1821,4860,1504,1,2006,2002,2006
2989,4861,1710,1,2006,2004,2006
1717,4862,1797,0.998,2005,2001,2005
1429,4863,1886,1,2006,1999,2006
3002,4866,1581,1,2005,2003,2005
1798,4867,2974,0.938,2006,2003,2006
1559,4868,1711,1,2006,1999,2006
1536,4870,1199,0.999,2006,1999,2006
1805,4871,1774,1,2006,2003,2006
3698,4872,1489,1,2006,2004,2006
1510,4873,1165,1,2005,1999,2005
1763,4874,2980,1,2006,2002,2006
1857,4875,1606,1,2006,2003,2006
1415,4876,1040,0.998,2006,1998,2006
1503,4877,1606,1,2006,1999,2006
3003,4879,1710,1,2006,2004,2006
1042,4880,453,0.994,2006,1996,2006
1707,4881,1604,0.999,2005,2001,2005
3086,4882,1702,1,2006,2004,2006
1697,4883,1722,1,2006,2002,2006
1697,4884,1722,1,2006,2002,2006
1772,4885,1729,1,2006,2003,2006
2963,4886,1709,0.998,2006,2003,2006
1790,4887,1731,0.674,2006,2002,2006
1895,4888,1754,1,2006,2003,2006
1740,4889,1187,1,2006,2001,2006
1510,4890,2966,1,2006,1999,2006
1852,4891,3093,1,2006,2003,2006
3505,4892,1774,0.999,2006,2005,2006
845,4893,1276,1,2006,1994,2006
1244,4894,2990,0.993,2006,1997,2006
1419,4895,1795,1,2006,1999,2006
1779,4896,1796,1,2006,2002,2006
1824,4897,1729,1,2006,2003,2006
869,4898,453,0.996,2006,1995,2006
1782,4899,453,0.996,2006,2002,2006
1538,4900,1808,0.999,2006,1999,2006
1024,4901,1616,1,2006,1995,2006
1506,4902,1767,1,2006,1999,2006
1506,4903,1499,1,2006,1999,2006
1854,4904,1029,0.992,2006,2003,2006
1821,4905,1504,0.998,2006,2002,2006
1193,4906,1881,0.555,2006,1996,2006
3507,4907,1587,1,2006,2004,2006
1170,4908,1524,1,2006,1997,2006
3517,4910,1593,1,2006,2005,2006
3517,4911,1593,1,2006,2005,2006
2963,4912,1196,1,2006,2003,2006
2978,4913,1722,1,2006,2003,2006
1580,4914,1542,1,2006,2000,2006
2963,4915,1196,0.996,2006,2003,2006
1580,4916,1542,0.999,2006,2000,2006
1826,4917,1499,0.997,2006,2003,2006
1043,4919,1682,1,2006,1995,2006
3453,4933,1699,1,2006,2004,2006
3453,4934,1699,1,2006,2004,2006
1672,4935,1797,0.999,2006,2001,2006
1827,4936,1783,1,2006,2002,2006
1827,4937,1744,0.999,2006,2002,2006
1791,4938,1509,1,2006,2002,2006
1532,4939,911,0.966,2006,1999,2006
1501,4940,3489,0.995,2006,1998,2006
1415,4941,1040,0.987,2006,1998,2006
