BloodID,CqGAPDH,U_PlateID,CqTelomere,EffGAPDH,EffTelomere,RTL,ID,Whodunnit,BirdID,Ageclass,RightTarsus,LeftTarsus,BodyMass,EyeColour,LayYear,FieldPeriodID,OccasionID,OccasionDate,TerritoryID,Status,BreedGroupID,SexEstimate,MaxOfMaxOfSeenDate
2163,23.581,7_35,17.135,1.901,1.76,0.399963706,268,EAF,176,A,,25.8,15.5,,1988,19,422,27/05/1995,63,BrM,2115,1,12/06/2003
2215,23.88,7_32,15.995,1.845,1.7945,0.92768967,198,EAF,176,A,,26.1,16.5,,1988,19,467,21/06/1995,63,BrM,2115,1,12/06/2003
2304,23.3355,8_36,15.505,1.876,1.7865,1.641786058,1090,EAF,774,A,,,,,1994,19,458,17/06/1995,117,ABX,2144,0,04/09/2002
2285,23.636,8_17,15.6355,1.8925,1.759,1.720987788,676,EAF,495,A,,24.9,16.8,,1993,19,437,05/06/1995,123,SEEN1,2146,1,01/07/2001
2285,23.663,7_36,15.805,1.919,1.8085,1.176998861,286,EAF,495,A,,24.9,16.8,,1993,19,437,05/06/1995,123,SEEN1,2146,1,01/07/2001
2285,23.683,8_12,16.146,1.8905,1.786,1.892601299,566,EAF,495,A,,24.9,16.8,,1993,19,437,05/06/1995,123,SEEN1,2146,1,01/07/2001
2285,23.619,7_46,16.1355,1.906,1.798,0.727376471,485,EAF,495,A,,24.9,16.8,,1993,19,437,05/06/1995,123,SEEN1,2146,1,01/07/2001
2363,23.412,8_25,14.5365,1.8935,1.7995,1.953748776,829,EAF,1036,A,,23.4,13.9,,1995,21,575,15/07/1996,28,SEEN1,2214,0,09/01/1998
2388,23.3185,7_27,16.3625,1.8595,1.769,0.668853472,112,EAF,1045,CH,,20.7,12.5,,1996,21,590,01/08/1996,33,FL,2216,1,08/07/2001
2392,23.549,7_42,16.0875,1.8945,1.7925,0.677793697,400,EAF,1049,CH,,21.7,14.3,,1996,21,590,01/08/1996,40,FL,2220,0,23/12/2003
2392,23.3135,7_20,15.3055,1.9245,1.8055,0.973049754,3,EAF,1049,CH,,21.7,14.3,,1996,21,590,01/08/1996,40,FL,2220,0,23/12/2003
2382,23.2985,7_36,16.6525,1.821,1.7885,0.587880252,287,EAF,1059,CH,,,,,1996,21,579,19/07/1996,56,XF,2232,0,02/01/2004
2353,35.334,8_26,28.387,1.8835,1.858,0.89101614,856,EAF,1032,CH,,24.5,15.1,,1996,21,566,02/07/1996,63,FL,2237,1,10/07/2001
2386,22.946,8_21,14.9205,1.778,1.694,1.323659376,763,EAF,1062,CH,,25.3,13.8,,1996,21,588,31/07/1996,74,FL,2244,1,23/09/1999
2363,23.412,8_25,14.5365,1.8935,1.7995,1.953748776,829,EAF,1036,A,,23.4,13.9,,1995,21,575,15/07/1996,76,SEEN2,2245,0,09/01/1998
2333,22.269,7_45,14.9565,1.8435,1.7525,0.691860636,462,EAF,1019,SA,,25.1,14.4,,1995,21,562,30/06/1996,86,ABX,2250,0,19/01/1999
2333,22.2855,8_15,15.257,1.823,1.7325,1.25102342,634,EAF,1019,SA,,25.1,14.4,,1995,21,562,30/06/1996,86,ABX,2250,0,19/01/1999
2333,22.3285,8_17,15.1375,1.903,1.7345,0.96167897,677,EAF,1019,SA,,25.1,14.4,,1995,21,562,30/06/1996,86,ABX,2250,0,19/01/1999
2333,22.3365,7_37,14.741,1.856,1.742,0.921595863,309,EAF,1019,SA,,25.1,14.4,,1995,21,562,30/06/1996,86,ABX,2250,0,19/01/1999
2383,22.94,7_46,14.9265,1.956,1.8495,0.959011647,486,EAF,522,A,,24.9,18.7,,1993,21,559,29/06/1996,86,BrF,2250,0,02/12/1999
2383,23.1145,8_9,16.591,1.8925,1.8425,0.70177299,1312,EAF,522,A,,24.9,18.7,,1993,21,559,29/06/1996,86,BrF,2250,0,02/12/1999
2383,23.069,7_25,16.449,1.917,1.808,0.438139885,70,EAF,522,A,,24.9,18.7,,1993,21,559,29/06/1996,86,BrF,2250,0,02/12/1999
2383,23.035,7_26,16.588,1.9585,1.855,0.356167414,92,EAF,522,A,,24.9,18.7,,1993,21,559,29/06/1996,86,BrF,2250,0,02/12/1999
2352,22.363,8_18,13.8335,1.8805,1.7095,1.756590541,699,EAF,1031,CH,,26.6,17.1,,1996,21,567,02/07/1996,89,FL,2252,1,09/03/2010
2352,22.452,8_9,15.5375,1.8335,1.7315,0.850350612,1311,EAF,1031,CH,,26.6,17.1,,1996,21,567,02/07/1996,89,FL,2252,1,09/03/2010
2352,24.484,7_42,17.036,1.8955,1.849,0.688939259,399,EAF,1031,CH,,26.6,17.1,,1996,21,567,02/07/1996,89,FL,2252,1,09/03/2010
2396,23.2805,8_17,15.8115,1.8925,1.8045,1.269669744,678,EAF,1051,CH,,18.9,10.4,,1996,21,598,11/08/1996,92,CH,2254,0,12/03/1998
2396,23.1005,8_5,15.257,1.896,1.789,1.589697393,1223,EAF,1051,CH,,18.9,10.4,,1996,21,598,11/08/1996,92,CH,2254,0,12/03/1998
2387,23.188,8_23,14.7165,1.9565,1.8235,1.977755911,787,EAF,1063,CH,,15.9, 9.8,,1996,21,588,31/07/1996,103,CH,13,1,03/08/2000
2370,23.4115,8_23,14.5865,1.9105,1.799,2.424220293,786,EAF,1042,CH,,5.1, 5.1,,1996,21,4913,14/07/1996,171,XF,2299,0,30/06/2015
902,22.9405,7_29,16.523,1.9745,1.851,0.415344662,152,EAF,495,A,24.9,24.6,16.4,,1993,39,1022,05/08/2000,9,BrM,3033,1,01/07/2001
902,23.032,7_44,15.583,1.966,1.828,0.807173055,456,EAF,495,A,24.9,24.6,16.4,,1993,39,1022,05/08/2000,9,BrM,3033,1,01/07/2001
939,23.06,8_16,14.4895,1.934,1.8025,2.154269153,671,EAF,1614,FL,24.5,24.4,14.7,,2001,40,1037,12/07/2001,1,FL,3134,0,20/08/2008
942,23.0215,8_20,15.17,1.8885,1.764,1.458890184,761,EAF,1684,SA,26.2,26,17.0,,2000,40,1040,22/07/2001,2,ABX,3135,1,26/07/2011
929,23.859,7_26,17.807,1.878,1.812,0.30739767,108,EAF,1604,SA,24.4,24.3,16.3,,2000,40,1029,03/07/2001,23,ABX,3151,1,25/06/2013
929,23.9475,7_25,17.7395,1.894,1.8115,0.361210192,88,EAF,1604,SA,24.4,24.3,16.3,,2000,40,1029,03/07/2001,23,ABX,3151,1,25/06/2013
930,23.2505,7_36,16.754,1.89,1.8145,0.519589593,305,EAF,1605,SA,24.1,24,14.9,,2000,40,1030,04/07/2001,40,ABX,3165,0,24/02/2015
941,23.0575,8_16,15.821,1.926,1.828,0.998753296,672,EAF,1616,SA,26.9,26.8,16.2,,2000,40,1039,18/07/2001,52,ABX,3174,1,26/02/2012
950,23.606,8_1,15.5035,1.902,1.7585,1.342411562,520,EAF,1624,CH,,, 8.2,,2001,40,1044,26/07/2001,69,FL,3187,0,26/07/2001
933,27.542,7_31,21.693,1.9275,1.844,0.364114793,194,EAF,1608,SA,24.7,24.5,16.1,,2000,40,1032,06/07/2001,116,BrM,3220,1,13/01/2007
938,22.7875,8_24,15.388,1.927,1.756,1.101169446,825,EAF,1613,OFL,24.1,24.6,13.6,,2001,40,1036,11/07/2001,137,OFL,3233,0,11/07/2001
935,23.724,8_4,16.726,1.9855,1.8165,0.836740085,1198,EAF,1610,SA,27.1,27.1,17.0,,2000,40,1034,08/07/2001,155,BrM,3239,1,14/01/2007
937,22.969,8_9,16.4375,1.9525,1.835,0.685173692,1329,EAF,1612,SA,24.5,24.6,14.5,,2000,40,1035,10/07/2001,157,BrF,3240,0,17/12/2003
934,23.587,8_11,16.2545,1.8845,1.7925,0.827913116,562,EAF,1609,FL,24.5,24.4,14.0,,2001,40,1033,07/07/2001,166,FL,3244,1,12/08/2003
1063,23.4045,7_32,14.6775,1.918,1.8375,1.501711356,196,EAF,1708,SA,25.8,,15.7,,2001,41,1083,17/08/2002,98,ABX,827,1,10/09/2015
1081,23.4155,8_10,15.2505,1.943,1.8115,1.59557283,522,EAF,1718,SA,25.3,,14.8,,2001,41,1090,23/08/2002,92,BrM,825,1,28/08/2005
998,22.9995,8_24,16.103,1.889,1.796,0.835528329,826,EAF,1664,SA,24.0,,13.8,,2002,41,1052,19/07/2002,74,ABX,817,0,24/01/2009
1096,23.2935,8_16,15.7055,1.914,1.7415,1.190488531,652,EAF,1730,SA,25.6,,16.3,,2002,41,1097,01/09/2002,108,ABX,830,1,24/07/2006
1096,23.526,8_40,16.7635,1.926,1.8325,0.643538541,1199,EAF,1730,SA,25.6,,16.3,,2002,41,1097,01/09/2002,108,ABX,830,1,24/07/2006
1071,23.285,7_23,16.447,1.913,1.784,0.637264638,24,EAF,1713,CH,19.6,,10.0,,2002,41,1084,19/08/2002,99,CH,828,1,19/08/2002
