"BloodID","TL","BTN","Whodunnit","Objective","PlateID"
"879",3636.415507,"670","EB",NA,NA
"3898",3637.222453,"2762","EB",NA,NA
"590",3640.614678,"1610","EB",NA,NA
"590",3640.614678,"1610","EB",NA,NA
"1132",3643.89656,"982","EB",NA,NA
"1132",3643.89656,"982","EB",NA,NA
"883",3645.749774,"674","EB",NA,NA
"4112",3654.464195,"2381","EB",NA,NA
"4112",3654.464195,"2381","EB",NA,NA
"3476",3656.511379,"2475","EB",NA,NA
"233",3663.930555,"1237","EB",NA,NA
"3813",3664.277587,"2502","EB",NA,NA
"3813",3664.277587,"2502","EB",NA,NA
"2623",3671.745462,"243","EB",NA,NA
"3850",3676.188985,"2671","EB",NA,NA
"4065",3677.110699,"3155","EB",NA,NA
"4159",3679.72698,"3049","EB",NA,NA
"913",3682.50251,"704","EB",NA,NA
"642",3683.387933,"1662","EB",NA,NA
"3892",3691.113804,"2763","EB",NA,NA
"1095",3696.55508,"945","EB",NA,NA
"4100",3703.713997,"3207","EB",NA,NA
"1024",3705.491136,"875","EB",NA,NA
"1119",3705.529166,"969","EB",NA,NA
"1119",3705.529166,"969","EB",NA,NA
"1119",3705.529166,"969","EB",NA,NA
"1119",3705.529166,"969","EB",NA,NA
"2549",3706.718632,"64","EB",NA,NA
"2549",3706.718632,"64","EB",NA,NA
"3837",3713.261359,"2669","EB",NA,NA
"3837",3713.261359,"2669","EB",NA,NA
"4068",3717.064787,"3161","EB",NA,NA
"2756",3725.820249,"403","EB",NA,NA
"2731",3728.951787,"378","EB",NA,NA
"2731",3728.951787,"378","EB",NA,NA
"885",3731.441419,"676","EB",NA,NA
"4253",3748.113191,"3126","EB",NA,NA
"3905",3750.883241,"2779","EB",NA,NA
"1013",3756.356266,"864","EB",NA,NA
"137",3756.816652,"1136","EB",NA,NA
"137",3756.816652,"1136","EB",NA,NA
"3474",3758.658802,"2470","EB",NA,NA
"771",3759.550949,"544","EB",NA,NA
"4069",3760.695736,"3162","EB",NA,NA
"1035",3762.314514,"886","EB",NA,NA
"1037",3763.202291,"888","EB",NA,NA
"2898",3765.722008,"1858","EB",NA,NA
"1020",3772.652414,"871","EB",NA,NA
"3325",3775.303201,"2334","EB",NA,NA
"731",3776.22253,"483","EB",NA,NA
"623",3780.189122,"1643","EB",NA,NA
"493",3784.848875,"1509","EB",NA,NA
"3965",3790.175845,"3019","EB",NA,NA
"4102",3795.554882,"3209","EB",NA,NA
"4302",3798.022472,"3275","EB",NA,NA
"3786",3801.187903,"2474","EB",NA,NA
"3917",3803.405906,"2788","EB",NA,NA
"2699",3823.130339,"346","EB",NA,NA
"853",3825.789413,"636","EB",NA,NA
"174",3839.52042,"1174","EB",NA,NA
"174",3839.52042,"1174","EB",NA,NA
"4116",3842.554001,"3221","EB",NA,NA
"531",3850.685139,"1547","EB",NA,NA
"533",3851.721396,"1549","EB",NA,NA
"3382",3854.750428,"2377","EB",NA,NA
"714",3862.562124,"466","EB",NA,NA
"3839",3867.008702,"2674","EB",NA,NA
"4258",3868.681209,"3129","EB",NA,NA
"2917",3875.305908,"1877","EB",NA,NA
"943",3877.170458,"734","EB",NA,NA
"943",3877.170458,"734","EB",NA,NA
"231",3883.374374,"1235","EB",NA,NA
"789",3883.469791,"566","EB",NA,NA
"4132",3898.963046,"3237","EB",NA,NA
"2720",3900.347587,"367","EB",NA,NA
"4260",3904.42479,"3133","EB",NA,NA
"744",3908.419914,"513","EB",NA,NA
"147",3909.820007,"1146","EB",NA,NA
"3369",3913.916141,"2369","EB",NA,NA
"3773",3915.042601,"2467","EB",NA,NA
"3773",3915.042601,"2467","EB",NA,NA
