BreedGroupID,BirdID,Status
1200,2194,BrF
1200,2193,BrM
1201,2841,BrF
1201,2107,BrM
1202,2197,AB
1202,2196,BrF
1202,2195,BrM
1203,2200,AB
1203,2199,BrF
1203,2198,BrM
1204,2202,BrF
1204,2201,BrM
1205,31,BrF
1205,2203,BrM
1206,2058,BrF
1206,2057,BrM
1207,1995,BrF
1207,1994,BrM
1208,1997,BrF
1208,1996,BrM
1209,2000,BrF
1209,1999,BrM
1210,2063,BrF
1210,2739,BrM
1211,2065,BrF
1211,2064,BrM
1212,2108,BrF
1212,2004,BrM
1213,91,AB
1213,2211,AB
1213,2832,BrF
1213,2066,BrM
1214,2212,FL
1214,2213,FL
1214,2211,AB
1214,2114,BrF
1214,2005,BrM
1215,105,FL
1215,2214,BrF
1215,23,BrM
1216,103,FL
1216,102,CH
1216,2215,AB
1216,2115,BrF
1216,2774,BrM
1217,2216,FL
1217,2117,BrF
1217,2116,BrM
1218,2119,BrF
1218,2118,BrM
1219,2067,AB
1219,789,BrF
1219,2120,BrM
1220,2218,FL
1220,95,AB
1220,96,AB
1220,2217,AB
1220,790,AB
1220,1901,BrF
1220,1900,BrM
1221,112,FL
1221,2219,AB
1221,2220,AB
1221,2008,BrF
1221,2764,BrM
1222,2221,BrF
1222,1686,BrM
1223,433,FL
1223,2070,BrF
1223,22,BrM
1224,2859,BrF
1224,2121,BrM
1225,2224,FL
1225,2751,AB
1225,2223,BrF
1225,2122,BrM
1226,2225,FL
1226,2122,AB
1226,2750,BrF
1226,1903,BrM
1227,98,FL
1227,428,BrF
1227,28,BrM
1228,99,FL
1228,2760,BrF
1228,2754,BrM
1229,2226,AB
1229,788,BrF
1229,2011,BrM
1230,2227,BrF
1230,29,BrM
1231,2229,FL
1231,2228,AB
1231,427,AB
1231,2749,BrF
1231,2071,BrM
1232,2230,AB
1232,37,BrF
1232,36,BrM
1233,2231,FL
1233,2076,BrF
1233,2125,BrM
1234,2232,AB
1234,1905,BrF
1234,2755,BrM
1235,2126,BrF
1235,21,BrM
1236,2234,FL
1236,2127,AB
1236,2233,AB
1236,2795,BrF
1236,2733,BrM
1237,2014,BrF
1237,2128,BrM
1238,2236,FL
1238,2235,AB
1238,1687,BrF
1238,2077,BrM
1239,2237,AB
1239,2129,BrF
1239,2015,BrM
1240,2239,BrF
1240,2238,BrM
1241,100,FL
1241,101,FL
1241,106,FL
1241,2242,FL
1241,2815,AB
1241,2240,AB
1241,2241,AB
1241,799,BrF
1241,2131,BrM
1242,92,AB
1242,2243,BrF
1242,2763,BrM
1243,2244,FL
1243,794,BrF
1243,2756,BrM
1244,107,FL
1244,44,FL
1244,2246,FL
1244,97,AB
1244,2245,AB
1244,2759,BrF
1244,24,BrM
1245,2247,FL
1245,2135,AB
1245,2079,BrF
1245,2078,BrM
1246,2136,AB
1246,2082,BrF
1246,2081,BrM
1247,104,FL
1247,2248,FL
1247,2139,AB
1247,2138,BrF
1247,2137,BrM
1248,2140,AB
1248,2084,BrF
1248,304,BrM
1249,2249,BrF
1249,2141,BrM
1250,2250,FL
1250,1915,BrF
1250,2781,BrM
1251,1914,BrF
1251,1913,BrM
1252,1917,BrF
1252,1916,BrM
1253,2143,BrF
1253,2142,BrM
1254,2251,FL
1254,109,AB
1254,1921,BrF
1254,2144,BrM
1255,1923,BrF
1255,1922,BrM
1256,1925,BrF
1256,1924,BrM
1257,2088,BrF
1257,2087,BrM
1258,2146,AB
1258,1927,BrF
1258,1926,BrM
1259,430,BrF
1259,1929,BrM
1260,2253,FL
1260,2252,AB
1260,2089,BrF
1260,1931,BrM
1261,2147,BrF
1261,1932,BrM
1262,431,FL
1262,2256,FL
1262,2255,FL
1262,2821,AB
1262,2775,AB
1262,2822,AB
1262,2148,AB
1262,2149,AB
1262,790,BrF
1262,2254,BrM
1263,2257,AB
1263,2258,AB
1263,792,BrF
1263,2150,BrM
1264,2259,FL
1264,2260,FL
1264,93,AB
1264,43,CH
1264,94,AB
1264,2152,BrF
1264,2151,BrM
1265,2159,BrF
1265,2158,BrM
1266,1938,BrF
1266,1937,BrM
1267,2161,BrF
1267,2160,BrM
1268,2163,BrF
1268,2162,BrM
1269,2766,BrM
1269,2164,BrF
1270,2261,FL
1270,2165,BrF
1270,2793,BrM
1271,1940,BrF
1271,1939,BrM
1272,2263,FL
1272,2262,AB
