offspring,mother,father,prob
1535,168,1018,1
1536,1017,1018,1
1537,825,1286,1
1538,459,607,0.903
1539,459,176,0.855
1540,869,1178,0.994
1541,459,1290,1
1542,1022,1199,0.998
1543,199,609,1
1544,441,1165,0.993
1545,1432,1187,0.966
1546,596,497,1
1547,1024,676,1
1548,1024,676,1
1549,1042,176,1
1550,1218,886,1
1551,869,1178,0.998
1552,1369,1032,1
1553,604,1274,1
1554,932,1274,0.979
1555,199,609,1
1556,1369,1032,1
1557,604,921,1
1558,466,51,1
1559,458,499,1
1560,823,499,1
1561,1386,216,0.999
1562,522,629,1
1563,450,634,1
1564,297,634,1
1565,441,1167,1
1566,1160,1179,0.978
1567,NA,1164,0.434
1568,663,1154,1
1569,NA,1198,1
1570,627,467,0.998
1571,1042,176,0.992
1572,1369,1032,1
1573,476,917,0.517
1574,308,921,1
1575,1186,1188,1
1576,859,929,1
1577,308,1274,1
1578,862,917,1
1579,1170,1063,1
1580,1403,525,1
1581,1161,525,1
1582,1161,849,1
1583,951,1196,1
1584,848,1370,0.999
1585,595,495,1
1586,503,1214,1
1587,NA,1191,0.42
1588,1382,847,1
1589,1382,847,1
1590,826,1274,1
1591,1059,1020,0.997
1592,853,629,0.998
1593,1017,1018,0.986
1594,1415,1165,1
1595,1271,1395,1
1596,168,1045,1
1597,774,1198,1
1598,1195,1279,1
1599,1501,890,0.998
1600,524,865,1
1601,925,1287,1
1602,912,1187,0.999
1603,NA,NA,0.518
1604,1247,494,1
1605,1222,494,1
1606,595,495,1
1607,1222,494,1
1608,1247,494,1
1609,1177,1395,1
1610,1170,917,1
1611,639,1028,1
1612,949,557,1
1613,845,1276,1
1614,912,1348,1
1615,1130,1356,1
1616,1384,1370,1
1617,858,1063,1
1618,832,1435,0.999
1619,1436,1381,1
1620,823,1268,1
1621,1017,1018,1
1622,1193,602,0.999
1623,840,497,1
1624,NA,1495,0.647
1660,1605,497,1
1661,840,911,0.995
1662,1771,1187,1
1663,1490,1031,1
1664,1490,1031,1
1665,1059,494,1
1666,NA,1040,0.547
1667,1218,1542,1
1668,826,1213,0.999
1669,1503,1209,1
1670,NA,453,0.575
1671,459,1670,1
1672,1043,NA,0.635
1673,1409,1543,1
1674,NA,1209,0.633
1675,1589,929,1
1676,NA,1577,0.678
1677,1588,1587,1
1678,1588,1581,1
1679,1588,1581,1
1680,845,1276,1
1681,845,1276,1
1682,869,1188,1
1683,1271,1593,1
1684,927,501,1
1685,1049,NA,0.664
1695,NA,1577,0.326
1696,1384,1557,0.997
1697,1384,1370,1
1698,1552,1504,1
1699,1552,1504,1
1700,1508,865,1
1701,595,497,0.996
1702,1771,911,1
1703,1244,1213,0.99
1704,951,1196,1
1705,912,1348,1
1706,1186,1221,1
1707,1558,1441,0.708
1708,1438,NA,0.602
1709,1049,1608,1
1710,524,1566,1
1711,1158,1396,1
1712,NA,1357,0.999
1713,1672,1533,1
1714,1222,494,1
1715,1043,676,1
1716,1043,1412,1
1717,NA,1360,0.865
1718,858,1533,1
1719,1247,494,0.999
1720,1532,911,1
1721,1511,1499,1
1722,1401,1185,0.999
1723,1550,1040,0.999
1724,444,1165,1
1725,1506,1359,0.992
1726,NA,1504,0.967
1727,666,1171,1
1728,639,1610,1
1729,604,1221,1
1730,1612,1199,0.888
1731,1701,1566,1
1732,NA,544,1
1733,840,1187,1
1734,1735,1381,1
1735,1190,917,0.906
1736,1218,1542,1
1737,1598,NA,0.717
1738,862,1579,1
1739,932,1557,0.999
1740,930,1485,1
1741,1559,1031,1
1742,1510,1542,0.999
1743,1415,1666,1
1744,NA,1577,0.998
1745,1369,1504,1
1746,949,1540,1
1747,826,1590,1
1748,932,921,0.999
1749,1674,1029,1
1750,1362,1187,0.996
1751,845,1276,1
1752,1200,1553,1
1753,1244,1188,1
1754,1355,1234,1
1755,1247,1020,1
1756,1244,1178,0.985
1757,NA,NA,0.459
1758,1757,1523,1
1759,522,1360,1
1760,1380,602,1
1761,1186,921,0.999
1762,927,501,1
1763,1152,1349,0.999
1764,1222,1684,1
1765,628,1358,1
1766,1415,1666,0.995
1767,930,1485,1
1768,1361,1590,0.999
1769,1024,1412,1
1770,1024,1412,0.993
1771,925,1020,1
1772,NA,NA,0.335
1773,1186,1184,1
1774,1501,507,0.998
1775,458,499,1
1776,1510,1542,0.999
1777,1017,1018,1
1778,951,1196,1
1779,1387,1670,1
1780,1491,1356,1
1781,NA,1579,0.994
1782,1193,1553,0.44
1783,1305,1595,1
1784,1380,1395,0.989
1785,1155,453,1
1786,1538,1539,1
1787,503,1184,0.931
1788,1401,1551,0.995
1789,NA,NA,0.633
1790,1403,1533,1
1791,1172,544,1
1793,1275,1610,1
1794,1382,1677,1
1795,NA,1165,0.712
1796,1437,1196,1
1797,1195,NA,0.775
