BloodID,TL,BirdID,Ageclass,RightTarsus,LeftTarsus,OccasionDate,OccasionID,LayYear,BodyMass,TerritoryID,FieldPeriodID,Status,BreedGroupID,MaxOfMaxOfSeenDate,SexEstimate
568,16404.61535,1787,A,25.5,,26/07/2005,1627,2002,16.0,36,37,BrM,672,02/02/2008,1
568,2050.061054,1787,A,25.5,,26/07/2005,1627,2002,16.0,36,37,BrM,672,02/02/2008,1
3124,3321.394553,1787,A,25.6,,27/07/2006,1881,2002,17.0,36,75,BrM,3786,02/02/2008,1
3929,4234.825876,1787,A,25.2,,02/02/2008,2248,2002,15.2,36,85,BrM,4339,02/02/2008,1
257,15253.62519,1788,SA,26.1,,23/12/2003,1241,2002,16.2,125,31,BrM,2682,30/08/2007,1
138,2351.113381,1789,SA,23.8,,17/07/2003,1168,2002,15.8,154,30,BrF,540,28/01/2008,0
138,1501.370745,1789,SA,23.8,,17/07/2003,1168,2002,15.8,154,30,BrF,540,28/01/2008,0
3162,8716.394792,1790,A,24.8,,11/08/2006,1914,2002,15.8,112,75,BrF,3843,02/09/2008,0
3162,2811.728901,1790,A,24.8,,11/08/2006,1914,2002,15.8,112,75,BrF,3843,02/09/2008,0
3995,1544.827457,1790,A,24.8,,23/07/2008,2170,2002,15.2,112,87,BrF,4576,02/09/2008,0
139,4297.44378,1791,A,24.2,,17/07/2003,1168,2002,15.4,155,30,U,541,20/02/2012,0
2933,4257.586508,1791,A,23.8,,04/12/2005,1774,2002,14.7,7,54,BrF,6319,20/02/2012,0
143,4481.35467,1793,A,25.8,,21/07/2003,1171,2002,16.6,144,30,ABX,539,24/05/2004,1
145,5023.98414,1794,A,25.0,,22/07/2003,1173,2002,16.0,138,30,H,536,29/08/2004,1
147,3909.820007,1795,A,25.4,,26/07/2003,1174,2002,16.2,22,30,BrM,460,19/08/2009,1
3131,1119.360171,1795,A,25.2,,02/08/2006,1893,2002,16.5,22,75,BrM,3775,19/08/2009,1
3131,5882.382228,1795,A,25.2,,02/08/2006,1893,2002,16.5,22,75,BrM,3775,19/08/2009,1
3200,6072.496748,1797,A,24.6,,17/08/2006,1924,2002,16.5,92,75,BrM,3829,17/08/2006,1
151,19278.97472,1798,CH,24.1,,28/07/2003,1177,2003,16.0,135,30,FL,535,08/09/2010,0
4108,5127.406422,1798,A,24.2,,14/02/2009,2308,2003,13.6,178,90,BrF,4172,08/09/2010,0
