BloodID,TL,BirdID,BTN,Whodunnit,Objective,Plate
3861,3341.890783,1826,2725,EB,,
128,3346.915541,503,1127,EB,,
912,3347.642266,1591,703,EB,,
3698,3348.036453,1881,2509,EB,,
3698,3348.036453,1881,2509,EB,,
994,3361.774409,1607,845,EB,,
893,3373.682417,1582,684,EB,,
4265,3374.276203,5312,3263,EB,,
940,3392.064052,1615,731,EB,,
4198,3393.243706,5079,3088,EB,,
3964,3399.716369,3449,3015,EB,,
4192,3401.144189,5144,3083,EB,,
871,3407.943039,1573,662,EB,,
46,3416.383898,912,1045,EB,,
646,3417.83756,1804,1666,EB,,
646,3417.83756,1804,1666,EB,,
4021,3418.433316,5268,2982,EB,,
275,3418.766993,1886,1279,EB,,
286,3421.356779,1723,1290,EB,,
414,3424.379067,1773,1425,EB,,
727,3424.398446,1427,479,EB,,
437,3427.961393,1605,1448,EB,,
3950,3434.227999,1509,3009,EB,,
3827,3446.193225,1707,2500,EB,,
417,3446.374162,1616,1428,EB,,
443,3449.618697,1577,1454,EB,,
995,3465.02593,1499,846,EB,,
323,3468.54771,1685,1328,EB,,
3921,3473.069581,3574,2800,EB,,
3777,3475.451895,4918,2462,EB,,
3777,3475.451895,4918,2462,EB,,
3784,3475.982254,4871,2471,EB,,
3784,3475.982254,4871,2471,EB,,
4464,3477.648939,5447,3282,EB,,
764,3483.370369,1496,536,EB,,
764,3483.370369,1496,536,EB,,
267,3484.281519,1509,1271,EB,,
132,3503.794881,1394,1131,EB,,
627,3507.646859,1501,1647,EB,,
627,3507.646859,1501,1647,EB,,
2589,3508.536995,1246,208,EB,,
3806,3512.266248,4870,2485,EB,,
3806,3512.266248,4870,2485,EB,,
4297,3519.434669,5168,3279,EB,,
650,3537.27117,1709,1670,EB,,
3997,3537.965599,1895,3043,EB,,
4084,3542.603036,1753,3177,EB,,
1028,3543.772075,1673,879,EB,,
3902,3549.486479,3500,2776,EB,,
452,3552.215239,3022,1463,EB,,
2765,3561.793443,1407,412,EB,,
2765,3561.793443,1407,412,EB,,
906,3567.000447,1588,697,EB,,
3835,3567.929266,1778,2665,EB,,
4040,3568.08058,3086,2962,EB,,
4040,3568.08058,3086,2962,EB,,
3854,3572.127494,2963,2704,EB,,
4254,3572.818969,3002,3128,EB,,
1123,3573.644253,1695,973,EB,,
1145,3573.721566,1754,995,EB,,
3156,3581.025934,1664,2165,EB,,
3876,3581.98721,3462,2741,EB,,
870,3583.653042,1572,661,EB,,
4118,3584.99943,1685,3223,EB,,
4118,3584.99943,1685,3223,EB,,
4189,3585.46966,1765,3076,EB,,
892,3592.732529,1581,683,EB,,
3840,3594.679262,3500,2679,EB,,
1025,3595.942718,1533,876,EB,,
4269,3597.400086,5316,3254,EB,,
52,3599.831419,1684,1051,EB,,
52,3599.831419,1684,1051,EB,,
791,3599.933216,1516,568,EB,,
3954,3605.891798,1740,3003,EB,,
3362,3609.053626,1305,2374,EB,,
4190,3615.114478,1774,3075,EB,,
2715,3616.039387,911,362,EB,,
2333,3617.641808,1019,13,EB,,
2333,3617.641808,1019,13,EB,,
3307,3625.952855,1491,2316,EB,,
879,3636.415507,1859,670,EB,,
3898,3637.222453,5074,2762,EB,,
590,3640.614678,1523,1610,EB,,
590,3640.614678,1523,1610,EB,,
1132,3643.89656,1744,982,EB,,
1132,3643.89656,1744,982,EB,,
883,3645.749774,1384,674,EB,,
4112,3654.464195,4879,2381,EB,,
4112,3654.464195,4879,2381,EB,,
3476,3656.511379,5079,2475,EB,,
233,3663.930555,1501,1237,EB,,
3813,3664.277587,4912,2502,EB,,
3813,3664.277587,4912,2502,EB,,
2623,3671.745462,64,243,EB,,
3850,3676.188985,497,2671,EB,,
4065,3677.110699,1752,3155,EB,,
4159,3679.72698,4894,3049,EB,,
913,3682.50251,1592,704,EB,,
642,3683.387933,1429,1662,EB,,
3892,3691.113804,1805,2763,EB,,
1095,3696.55508,1729,945,EB,,
4100,3703.713997,1494,3207,EB,,
1024,3705.491136,1672,875,EB,,
1119,3705.529166,1666,969,EB,,
1119,3705.529166,1666,969,EB,,
1119,3705.529166,1666,969,EB,,
1119,3705.529166,1666,969,EB,,
2549,3706.718632,1193,64,EB,,
2549,3706.718632,1193,64,EB,,
3837,3713.261359,5099,2669,EB,,
3837,3713.261359,5099,2669,EB,,
4068,3717.064787,5144,3161,EB,,
2756,3725.820249,1410,403,EB,,
2731,3728.951787,1363,378,EB,,
2731,3728.951787,1363,378,EB,,
885,3731.441419,1504,676,EB,,
4253,3748.113191,3451,3126,EB,,
3905,3750.883241,1762,2779,EB,,
1013,3756.356266,1244,864,EB,,
137,3756.816652,544,1136,EB,,
137,3756.816652,544,1136,EB,,
3474,3758.658802,5077,2470,EB,,
771,3759.550949,1510,544,EB,,
4069,3760.695736,4917,3162,EB,,
1035,3762.314514,929,886,EB,,
1037,3763.202291,199,888,EB,,
2898,3765.722008,3458,1858,EB,,
1020,3772.652414,176,871,EB,,
3325,3775.303201,1672,2334,EB,,
731,3776.22253,1434,483,EB,,
623,3780.189122,1781,1643,EB,,
493,3784.848875,1725,1509,EB,,
3965,3790.175845,3462,3019,EB,,
4102,3795.554882,4885,3209,EB,,
4302,3798.022472,5326,3275,EB,,
3786,3801.187903,4954,2474,EB,,
3917,3803.405906,3094,2788,EB,,
2699,3823.130339,1388,346,EB,,
853,3825.789413,1558,636,EB,,
174,3839.52042,1612,1174,EB,,
174,3839.52042,1612,1174,EB,,
4116,3842.554001,4956,3221,EB,,
531,3850.685139,1501,1547,EB,,
533,3851.721396,1778,1549,EB,,
3382,3854.750428,1702,2377,EB,,
714,3862.562124,1432,466,EB,,
3839,3867.008702,5071,2674,EB,,
4258,3868.681209,1581,3129,EB,,
2917,3875.305908,1716,1877,EB,,
943,3877.170458,1617,734,EB,,
943,3877.170458,1617,734,EB,,
231,3883.374374,1606,1235,EB,,
789,3883.469791,1186,566,EB,,
4132,3898.963046,4967,3237,EB,,
2720,3900.347587,1394,367,EB,,
4260,3904.42479,4866,3133,EB,,
744,3908.419914,1485,513,EB,,
147,3909.820007,1795,1146,EB,,
3369,3913.916141,1559,2369,EB,,
3773,3915.042601,4870,2467,EB,,
3773,3915.042601,4870,2467,EB,,
3773,3915.042601,4870,2467,EB,,
