BirdID,BloodID,Status,TerritoryID,PeriodEnd
1861,2183,BrM,22,28/08/1997
1861,2465,BrM,22,28/08/1997
1020,1121,BrM,23,28/08/1997
1020,2594,BrM,23,28/08/1997
1020,2334,BrM,23,28/08/1997
911,3740,SEEN2,24,28/08/1997
911,2577,SEEN2,24,28/08/1997
911,3106,SEEN2,24,28/08/1997
911,2715,SEEN2,24,28/08/1997
911,3841,SEEN2,24,28/08/1997
911,3958,SEEN2,24,28/08/1997
172,2533,SEEN2,24,28/08/1997
220,2289,BrM,26,28/08/1997
220,2652,BrM,26,28/08/1997
1235,2450,BrF,27,28/08/1997
507,217,BrM,30,28/08/1997
507,2671,BrM,30,28/08/1997
507,3341,BrM,30,28/08/1997
507,2197,BrM,30,28/08/1997
1221,2591,FL,30,28/08/1997
1214,127,OFL,33,28/08/1997
503,3776,BrF,33,28/08/1997
503,128,BrF,33,28/08/1997
1045,726,SEEN1,33,28/08/1997
1045,2626,SEEN1,33,28/08/1997
1045,2388,SEEN1,33,28/08/1997
1151,2492,BrM,35,28/08/1997
441,403,BrF,38,28/08/1997
441,2565,BrF,38,28/08/1997
1165,917,BrM,38,28/08/1997
1165,917,BrM,38,28/08/1997
1165,407,BrM,38,28/08/1997
1042,2408,SEEN1,38,28/08/1997
1042,1019,SEEN1,38,28/08/1997
1042,4797,SEEN1,38,28/08/1997
1042,292,SEEN1,38,28/08/1997
500,2522,BrF,40,28/08/1997
1162,2404,ABX,40,28/08/1997
494,719,BrM,40,28/08/1997
494,2276,BrM,40,28/08/1997
494,2276,BrM,40,28/08/1997
494,2276,BrM,40,28/08/1997
1151,2492,SEEN2,40,28/08/1997
199,2196,BrF,42,28/08/1997
199,1037,BrF,42,28/08/1997
442,2190,H,42,28/08/1997
609,2426,BrM,42,28/08/1997
609,2295,BrM,42,28/08/1997
609,2848,BrM,42,28/08/1997
609,66,BrM,42,28/08/1997
1029,585,BrM,43,28/08/1997
1029,4288,BrM,43,28/08/1997
1029,2653,BrM,43,28/08/1997
1029,658,BrM,43,28/08/1997
1156,2481,ABX,45,28/08/1997
454,1124,BrF,45,28/08/1997
221,2412,BrM,45,28/08/1997
221,2851,BrM,45,28/08/1997
221,56,BrM,45,28/08/1997
221,2193,BrM,45,28/08/1997
604,2673,BrF,47,28/08/1997
604,2199,BrF,47,28/08/1997
921,2559,BrM,47,28/08/1997
921,55,BrM,47,28/08/1997
921,2231,BrM,47,28/08/1997
1186,789,SEEN1,47,28/08/1997
1186,878,SEEN1,47,28/08/1997
1186,2558,SEEN1,47,28/08/1997
455,2423,BrF,48,28/08/1997
1212,2424,BrM,48,28/08/1997
1213,2463,FL,48,28/08/1997
