BirdID,NestID,ChickNr,HatchDate,FledgeDate,FateChick,DateCollection,Remarks
1885,851,1,,,F,,
1887,857,1,,,F,,
1888,756,,,,F ,,
1890,825,1,,,F,,
1895,685,1,,,F,,ringed by cuca
1896,774,1,,,F,,ch ringed by Cuca
1897,682,1,,,F ,,ringed by cuca
2925,1227,1,23/11/1988,,F,,
2926,1244,1,14/03/1990,,F,,
2927,1244,2,14/03/1990,,F,,
2997,1200,1,,,F,,
3005,976,1,,20-Aug-04,F,,
3006,983,1,,,U,,
3007,1191,1,18/08/2004,,F,,
3008,968,1,17/08/2004,,U,,Last seen as chick ringed 28/8/2004
3009,905,1,17/08/2004,,F,,
3012,924,1,12/08/2004,,F,,
3014,934,1,,,U,,ringed as chick 8/9/2004 and not seen since
3015,925,1,,,F,,
3016,906,1,,,F,,
3019,965,1,,,F,,
3095,912,1,15/08/2004,,F,,"wrongly=3022 (rung adult 26/12/04, BrF then)"
3087,911,1,,,F,,
3094,996,1,,,F,,
3472,1209,1,,22-Jun-05,F,,
3486,1009,1,,,F,,
3504,1149,1,16/07/2005,,F,,
3512,1092,1,,,F,,
3518,1047,1,,,F,,
3519,1044,1,07/08/2005,,F,,
3521,1055,1,,,F,,
3527,1211,1,22/07/2005,,F,,
3529,1210,1,,,F,,
3565,1104,1,,,F,,
3566,1125,1,13/08/2005,,F,,
3568,1104,2,,,F,,
3569,1042,1,,,F,,
3570,1127,1,,,F,,
3571,1048,1,,,F,,
3572,1041,1,,,F,,ON 15/08 CH ABOUT 1 WEEK OLD
3573,1048,2,,,F,,
3574,1150,1,17/08/2005,,F,,ch about 5 days on 17/08
3575,1036,1,09/08/2005,,F,,
3576,1053,1,,,F,,
3577,1019,1,,,F,,was about 10 days when found on 26/08
3579,1051,1,,,F,,MUST HAVE HATCHED AROUND 17/08
3580,1065,1,,,F,,
3581,1074,1,,,F,,
3590,1126,1,,,F,,
3591,1062,1,18/08/2005,,F,,MUST HAVE HATCHED AROUND 18/08 (SEE LAYDATE)
3592,1126,2,,,F,,
3593,1141,2,31/08/2005,,F,,
3594,1060,1,,,F,,
3595,1141,1,31/08/2005,,F,,chicks about 1 week old on 31/08
3596,1165,1,,,F,,
3597,1141,3,31/08/2005,,F,,
3598,1144,1,,,F,,
3599,1136,1,,,F,,ch 1 or 2 days old on 23/08
3600,1163,1,,,F,,
3601,1035,1,01/09/2005,,F,,
3602,1070,1,,,F,,CH 1 OR 2 DAYS OLD ON 31/08
3603,1038,1,,,F,,
3604,1012,1,,,F,,ch 3 or 4 days old on 05/09
3605,1139,1,,,F,,
3606,1033,1,,,F,,ON 31/08 CH 1 OR 2 DAYS OLD
3607,1008,1,25/08/2005,,F,,
3608,1010,1,,,F,,chick 1 or 2 days old when found
3609,1213,1,,,F,,
3610,1217,1,,,F,,
3742,5,1,31/07/1997,,D,02-Aug-97,
3744,7,1,04/08/1997,,D,,dead in storm 13/8
3745,8,1,04/08/1997,,D,18-Aug-97,dead in storm 18/8
3749,16,1,,,F,,UR
3750,18,1,21/08/1997,,G,,chick still in nest 28/8
3753,21,1,16/08/1997,,D,,SWAP wth 92.1
3754,23,1,05/08/1997,,D,07-Aug-97,
3755,25,1,09/08/1997,,D,16-Aug-97,
3757,27,1,01/05/1997,,F,,UR
3758,29,1,12/08/1997,,D,16-Aug-97,dead in storm 18/8
3759,29,2,12/08/1997,,G,,died in storm 18/8
3762,32,1,02/08/1997,,D,,dead in storm 17/8
3763,34,1,11/08/1997,,D,,dead in storm 16/8
3767,41,1,08/08/1997,,D,,"1 egg infertile, 1 chick dead in storm 18/8"
3769,44,2,27/07/1997,,G,,
3779,55,1,,,F,,UR
3783,63,1,25/08/1997,,F,,B--X?
3785,65,1,,,D,07-Aug-97,dead in storm 15/8
