BloodID,BTN,TL,Objective,Whodunnit,ID,PlateID,BirdID,RightTarsus,LeftTarsus,BodyMass,EyeColour,LayYear,FieldPeriodID,OccasionID,OccasionDate,BreedGroupID,TerritoryID,Status,MaxOfMaxOfSeenDate,SexEstimate
2558,72,6864.028605,1,EB,106,8,1186,24.9,24.8,15.2,,1996,22,698,16/07/1997,40,47,SEEN1,20/07/2002,0
2558,72,6864.028605,1,EB,106,8,1186,24.9,24.8,15.2,,1996,22,698,16/07/1997,59,72,BrF,20/07/2002,0
2559,73,5502.137178,1,EB,107,8,921,24.6,24.9,16.8,,1994,22,698,16/07/1997,40,47,BrM,15/12/2003,1
2560,74,6725.578619,1,EB,108,8,1188,25.4,25.4,15.4,,1996,22,698,16/07/1997,56,68,ABX,12/08/2010,1
2561,75,5863.509833,1,EB,109,9,1178,26.3,25,15.7,,1996,22,697,16/07/1997,57,69,BrM,05/08/1999,1
2564,78,5851.456421,1,EB,110,9,1200,24.7,24.3,15.7,,1996,22,700,17/07/1997,56,68,ABX,19/07/2006,0
2565,79,7212.186725,1,EB,111,9,441,25.4,25.1,15.6,,1992,22,701,20/07/1997,35,38,BrF,08/01/2007,0
2567,80,5908.504682,1,EB,112,9,1036,23.7,23.5,15.7,,1995,22,702,21/07/1997,59,72,TBRF,09/01/1998,0
2568,81,5932.795916,1,EB,113,9,1184,25.9,26,15.5,,1996,22,702,21/07/1997,59,72,BrM,05/07/2001,1
2569,82,3204.298586,7,EAF,1923,37,1185,26.3,26.6,15.5,,1996,22,704,22/07/1997,112,166,SEEN1,29/08/1999,1
2569,82,3204.298586,7,EAF,1923,37,1185,26.3,26.6,15.5,,1996,22,704,22/07/1997,114,168,SEEN1,29/08/1999,1
2570,83,3169.471754,8,EAF,2405,7,605,26.4,26.1,16.0,,1993,22,704,22/07/1997,114,168,BrM,30/08/1998,1
2571,84,6569.335861,1,EB,114,10,1194,25.6,25.5,15.8,,1996,22,704,22/07/1997,114,168,ABX,04/07/1998,1
2575,88,7191.97329,1,EB,115,10,1195,24.1,24.2,14.5,,1996,22,707,23/07/1997,72,94,H,07/09/2010,0
