BloodID,TL,BTN,Whodunnit,Objective,PlateID
825,10568.58731,606,EB,1,34
898,5627.952112,689,EB,1,34
2528,6851.90143,45,EB,1,35
2529,5851.73795,46,EB,1,35
2531,6979.634369,48,EB,1,35
2532,11295.57861,49,EB,1,35
2534,7262.554689,50,EB,1,35
2535,8210.218408,51,EB,1,35
2537,5305.791274,53,EB,1,35
2410,13868.21808,105,EB,1,35
2524,7122.992936,41,EB,1,36
2538,6960.138241,54,EB,1,36
2539,5261.49184,55,EB,1,36
2540,10485.49986,56,EB,1,36
2546,8292.461531,61,EB,1,36
2547,10923.51107,62,EB,1,36
2548,7127.486936,63,EB,1,36
2551,14004.97576,66,EB,1,36
2492,12525.02865,2,EB,1,37
2448,4378.784069,14,EB,1,37
2586,6019.927419,98,EB,1,37
2411,4801.276363,106,EB,1,37
2450,7163.45774,141,EB,1,37
2454,7020.805831,145,EB,1,37
2484,6198.435082,172,EB,1,37
789,3883.469791,566,EB,1,37
2419,5089.926616,113,EB,1,38
2482,10372.06074,170,EB,1,38
2239,10857.33164,187,EB,1,38
2610,6779.569111,230,EB,1,38
2654,8017.14931,301,EB,1,38
2724,8864.715559,371,EB,1,38
2763,6488.430785,410,EB,1,38
905,4683.493246,696,EB,1,38
2551,8518.369514,66,EB,1,39
2591,7476.574641,210,EB,1,39
2592,6155.761463,211,EB,1,39
2593,10516.67599,212,EB,1,39
2603,10425.68413,223,EB,1,39
2608,14444.78273,228,EB,1,39
2672,9423.997011,319,EB,1,39
2549,5083.799358,64,EB,1,40
2589,3508.536995,208,EB,1,40
2645,13013.43764,265,EB,1,40
2646,5065.166913,266,EB,1,40
2647,6139.983088,267,EB,1,40
2649,5925.167257,269,EB,1,40
2652,3639.950605,272,EB,1,40
2658,2701.352055,305,EB,1,40
2231,8180.655308,18,EB,2,1
2289,1514.240031,31,EB,2,1
2292,11385.41307,34,EB,2,1
2527,9913.747492,44,EB,2,1
2160,2668.790617,115,EB,2,1
2193,9225.615405,145,EB,2,1
2194,7764.839059,146,EB,2,1
2223,5866.929404,172,EB,2,1
2331,5511.947765,11,EB,2,2
2334,6949.411499,14,EB,2,2
2344,5005.817982,23,EB,2,2
2367,11016.85941,44,EB,2,2
2369,9578.634951,46,EB,2,2
2371,8253.767451,48,EB,2,2
2224,4449.926386,173,EB,2,2
2239,5776.396121,187,EB,2,2
990,8377.178693,841,EB,2,2
996,4955.89396,847,EB,2,3
1001,10014.13552,852,EB,2,3
1013,3756.356266,864,EB,2,3
1014,7381.840933,865,EB,2,3
1019,8524.7417,870,EB,2,3
1042,8164.430024,893,EB,2,3
1050,8002.78181,901,EB,2,3
1058,6600.880748,909,EB,2,3
1061,5445.811574,912,EB,2,3
1072,2508.675056,922,EB,2,4
1077,4143.363523,927,EB,2,4
1079,5376.048335,929,EB,2,4
1105,6769.192368,955,EB,2,4
1114,7242.247852,964,EB,2,4
1121,5727.945175,971,EB,2,4
1122,5912.054215,972,EB,2,4
1127,4689.791176,977,EB,2,4
1129,6667.196143,979,EB,2,4
173,4101.760535,1173,EB,2,6
175,6272.416383,1175,EB,2,6
211,8198.443847,1214,EB,2,6
216,5217.219409,1219,EB,2,6
238,5785.925719,1242,EB,2,6
252,5430.469587,1256,EB,2,6
270,5137.950821,1274,EB,2,6
271,5927.596653,1275,EB,2,6
277,4893.096428,1281,EB,2,7
307,3135.484809,1311,EB,2,7
349,7024.900775,1360,EB,2,7
372,8727.400565,1383,EB,2,7
403,7829.947921,1414,EB,2,7
407,6331.888199,1418,EB,2,7
446,5768.907663,1457,EB,2,7
